"Gene","Module"
"Dnaja1","blue"
"Slc3a1","blue"
"Hspa5bp1","blue"
"Nfatc1","blue"
"C80879","blue"
"Rpa3","blue"
"Slc38a2","blue"
"2900024O10Rik","blue"
"Cdh17","blue"
"Pitpnb","blue"
"Orm2","blue"
"1110011F09Rik","blue"
"1810007E14Rik","blue"
"1300018L09Rik","blue"
"BC014805","blue"
"Pparg","blue"
"Irf5","blue"
"B230315F11Rik","blue"
"Amy1","blue"
"Mpo","blue"
"Me2","blue"
"4930562N12Rik","blue"
"Hook1","blue"
"Bet1","blue"
"Gprc2a-rs1","blue"
"Bgn","blue"
"Acsl1","blue"
"Kcna5","blue"
"Slc16a2","blue"
"D430039N05Rik","blue"
"H2-Ab1","blue"
"Tfpi","blue"
"2310035M22Rik","blue"
"Zfp617","blue"
"Frzb","blue"
"Cd53","blue"
"2210401K01Rik","blue"
"Msx2","blue"
"9130211I03Rik","blue"
"Rpo1-3","blue"
"2210415F13Rik","blue"
"C1qg","blue"
"Tlr3","blue"
"Mfng","blue"
"Krt1-18","blue"
"1110014K05Rik","blue"
"Mest","blue"
"Lrp1","blue"
"Rap1a","blue"
"1700012B18Rik","blue"
"Gja1","blue"
"3526402H21Rik","blue"
"Nr5a2","blue"
"Ap3m1","blue"
"3110041P15Rik","blue"
"A130081B01","blue"
"Insm1","blue"
"Zfp97","blue"
"Car3","blue"
"Slc2a1","blue"
"Lamb3","blue"
"4930428J16Rik","blue"
"Serpinb6a","blue"
"2010110O04Rik","blue"
"Bcl9l","blue"
"A930010I20Rik","blue"
"5730521P14Rik","blue"
"Siat8d","blue"
"Cxcl5","blue"
"Trim34","blue"
"Fcer1g","blue"
"Il10rb","blue"
"Nol5","blue"
"Por","blue"
"Cfhl1","blue"
"Tm4sf13","blue"
"Pla2g6","blue"
"Agr2","blue"
"Eif5","blue"
"Slc41a3","blue"
"C230069K22Rik","blue"
"Tnfsf6","blue"
"1700003O08Rik","blue"
"Tesc","blue"
"4833415N24Rik","blue"
"2610036L13Rik","blue"
"Icosl","blue"
"Mup3","blue"
"Sema5a","blue"
"BC037112","blue"
"Nudt14","blue"
"9130422G05Rik","blue"
"2810022L02Rik","blue"
"Gpx7","blue"
"1200013A08Rik","blue"
"Mthfd2","blue"
"Plvap","blue"
"1700022L09Rik","blue"
"Ccna2","blue"
"Scoc","blue"
"Sema3d","blue"
"Fkbp5","blue"
"C1qa","blue"
"Mkln1","blue"
"Ddit4l","blue"
"Ngfa","blue"
"4833409A17Rik","blue"
"Tnfrsf18","blue"
"AF366264","blue"
"Arhgap24","blue"
"Pmvk","blue"
"Gdf10","blue"
"2010300G19Rik","blue"
"Nr3c1","blue"
"4933425F03Rik","blue"
"Brd4","blue"
"5730427N09Rik","blue"
"Zfp120","blue"
"2700084L22Rik","blue"
"Chad","blue"
"Ramp2","blue"
"1110061N23Rik","blue"
"Dmrta1","blue"
"Clca1","blue"
"Cer1","blue"
"Actr3","blue"
"Apom","blue"
"Emp3","blue"
"Cbfa2t3h","blue"
"AU041783","blue"
"2010316F05Rik","blue"
"BC014685","blue"
"Iapp","blue"
"Krt1-23","blue"
"Mug1","blue"
"Avpr1a","blue"
"Eno3","blue"
"Tuba1","blue"
"Sh3d19","blue"
"Rps8","blue"
"Zfp297b","blue"
"Mep1b","blue"
"Olfr1234","blue"
"E130201H02Rik","blue"
"Ext1","blue"
"9130017C17Rik","blue"
"2700017I06Rik","blue"
"Cpeb4","blue"
"Syk","blue"
"Dsip1","blue"
"Ces2","blue"
"E130319B15Rik","blue"
"BC032271","blue"
"Tnc","blue"
"Eml1","blue"
"Hs6st1","blue"
"Irg1","blue"
"6030408C04Rik","blue"
"Rasip1","blue"
"Gaa","blue"
"BC024139","blue"
"Emilin1","blue"
"Slc11a1","blue"
"2010300C02Rik","blue"
"Tlr2","blue"
"Apobec2","blue"
"Zic2","blue"
"Psma4","blue"
"Nfe2l2","blue"
"Ptpn18","blue"
"Bmp8b","blue"
"2610528M18Rik","blue"
"Fa2h","blue"
"Prodh","blue"
"1110030L07Rik","blue"
"Nek2","blue"
"Ppap2b","blue"
"4833426H19Rik","blue"
"Abhd3","blue"
"1700095N21Rik","blue"
"Lgals9","blue"
"AW125753","blue"
"4632417K18Rik","blue"
"2310067L16Rik","blue"
"Vwf","blue"
"Tm4sf6","blue"
"9230106F14Rik","blue"
